PCT,TYPE PTY,VRC,NAME,,,ADDRESS,DOB,VOTED,MAILED,RCV'D,STYLE
415,20,20,20,1,1,20,20,20,0,0,20
416,26,26,26,5,2,26,26,26,0,0,26
417,29,29,29,6,4,29,29,29,0,0,29
419,12,12,12,3,0,12,12,12,0,0,12
420,41,41,41,8,5,41,41,41,0,0,41
421,36,36,36,7,3,36,36,36,0,0,36
422,38,38,38,4,4,38,38,38,0,0,38
423,61,61,61,8,3,61,61,61,0,0,61
424,60,60,60,12,4,60,60,60,0,0,60
425,11,11,11,1,0,11,11,11,0,0,11
426,34,34,34,9,3,34,34,34,0,0,34
427,38,38,38,9,4,38,38,38,0,0,38
428,37,37,37,6,1,37,37,37,0,0,37
429,90,90,90,13,5,90,90,90,0,0,90
430,18,18,18,2,1,18,18,18,0,0,18
431,71,71,71,17,8,71,71,71,0,0,71
433,40,40,40,13,5,40,40,40,0,0,40
435,135,135,135,22,9,135,135,135,0,0,135
436,4,4,4,0,0,4,4,4,0,0,4
437,38,38,38,8,2,38,38,38,0,0,38
438,19,19,19,4,2,19,19,19,0,0,19
439,54,54,54,10,4,54,54,54,0,0,54
440,21,21,21,1,0,21,21,21,0,0,21
441,71,71,71,13,4,71,71,71,0,0,71
442,17,17,17,4,3,17,17,17,0,0,17
443,40,40,40,6,2,40,40,40,0,0,40
444,7,7,7,2,2,7,7,7,0,0,7
446,24,24,24,5,1,24,24,24,0,0,24
447,52,52,52,8,5,52,52,52,0,0,52
448,47,47,47,9,4,47,47,47,0,0,47
450,102,102,102,12,5,102,102,102,0,0,102
451,67,67,67,14,8,67,67,67,0,0,67
452,41,41,41,8,4,41,41,41,0,0,41
454,42,42,42,6,0,42,42,42,0,0,42
458,79,79,79,17,6,79,79,79,0,0,79
460,80,80,80,12,5,80,80,80,0,0,80
461,125,125,125,25,10,125,125,125,0,0,125
463,73,73,73,13,5,73,73,73,0,0,73
